label,area,perimeter,eccentricity,solidity,mean_intensity,centroid_row,centroid_col,bbox_minr,bbox_minc,bbox_maxr,bbox_maxc
192,49,25.556349186104043,0.5740055693646325,0.9074074074074074,180.10204081632654,713.0204081632653,113.93877551020408,709,111,718,119
193,61,30.14213562373095,0.8722496953894097,0.9104477611940298,170.29508196721312,719.2295081967213,24.0327868852459,716,18,723,31
194,32,27.313708498984763,0.9898312278389246,0.7111111111111111,163.15625,724.46875,371.25,718,367,732,376
195,28,21.485281374238568,0.954113867441616,0.8235294117647058,149.85714285714286,724.8571428571429,269.5,722,265,729,274
196,144,92.53300858899107,0.9956381676821922,0.6697674418604651,177.84722222222223,740.1458333333334,367.375,722,357,764,378
197,236,166.88225099390854,0.9993942979438446,0.5592417061611374,175.0,776.0847457627119,393.70762711864404,735,377,819,412
198,70,40.87005768508881,0.561079113096505,0.7070707070707071,149.38571428571427,748.8428571428572,173.1,741,168,754,180
199,37,21.899494936611667,0.8535403807992984,0.9487179487179487,171.16216216216216,747.4864864864865,107.97297297297297,743,106,753,111
200,95,60.18376618407356,0.9931621407404232,0.7037037037037037,164.23157894736843,758.2947368421053,281.06315789473683,744,272,771,292
201,134,67.84062043356595,0.9587027667690524,0.6633663366336634,164.11940298507463,760.2910447761194,196.43283582089552,748,189,772,207
202,98,47.11269837220809,0.914226377588288,0.7903225806451613,168.68367346938774,760.2448979591836,181.96938775510205,755,174,767,191
203,143,102.04772721475248,0.996432403269226,0.5143884892086331,155.17482517482517,792.7342657342657,379.3636363636364,769,370,816,389
204,20,17.621320343559642,0.9754179573314918,0.7692307692307693,170.3,774.75,383.85,771,382,780,387
205,128,77.49747468305833,0.9584653003038165,0.4555160142348754,151.4140625,790.7109375,307.2578125,779,295,801,320
206,76,35.45584412271571,0.5900434388283852,0.8539325842696629,160.4078947368421,786.1842105263158,178.96052631578948,780,174,792,186
207,107,71.04772721475248,0.989822931897053,0.6149425287356322,144.98130841121494,822.3551401869158,241.11214953271028,809,230,834,254
208,26,21.86396103067893,0.9873917439163354,0.7222222222222222,158.1153846153846,825.8846153846154,294.03846153846155,821,291,834,298
209,24,19.692388155425117,0.9518523165442467,0.6857142857142857,159.25,832.75,105.54166666666667,828,103,838,109
210,47,30.31370849898476,0.968247964021082,0.8392857142857143,176.68085106382978,834.9787234042553,416.74468085106383,829,414,843,421
211,64,51.7634559672906,0.9933346051137367,0.7272727272727273,165.578125,879.671875,326.875,867,322,892,332
212,45,30.00609665440988,0.9608221236568288,0.7627118644067796,166.9111111111111,885.8,250.75555555555556,880,247,894,256
213,34,23.556349186104043,0.9378237276771997,0.85,163.8235294117647,901.6764705882352,132.6764705882353,897,130,907,137
214,25,20.621320343559642,0.9838109052784071,0.78125,163.36,906.32,335.72,900,334,913,338
215,26,25.48528137423857,0.9916750389788946,0.6046511627906976,151.73076923076923,908.0769230769231,289.46153846153845,901,287,916,294
216,27,27.485281374238568,0.992632963502164,0.675,147.96296296296296,908.4814814814815,295.962962962963,902,293,917,300
217,27,19.899494936611664,0.9540857765390424,0.8709677419354839,171.07407407407408,981.925925925926,189.40740740740742,978,187,987,193
218,254,137.4386001800126,0.8828114226027612,0.49706457925636005,153.78740157480314,1007.6496062992126,62.311023622047244,987,51,1026,71
219,20,17.65685424949238,0.9682951689817131,0.7692307692307693,159.75,1019.2,166.85,1015,165,1024,170
220,20,17.414213562373096,0.9668399387872798,0.6896551724137931,157.45,1152.75,84.55,1148,83,1158,87
